Model,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy
Original eLCS on Minimally Processed Data,0.8069552874378992,0.6961538461538461,0.4839572192513369,0.5709779179810726,0.7038143584179389
Original eLCS on Preprocessed Data,0.7679205110007097,0.5420393559928444,0.8101604278074866,0.6495176848874598,0.7814087163192023
Improved eLCS,0.7686302342086586,0.5415224913494809,0.8368983957219251,0.657563025210084,0.790429874189465
Logistic Regression,0.7778566359119943,0.5521367521367522,0.8636363636363636,0.6736183524504692,0.8052481335090032
Decision Tree,0.7615330021291696,0.5519125683060109,0.5401069518716578,0.5459459459459459,0.6908264227957324
Random Forest,0.8360539389638041,0.7037037037037037,0.660427807486631,0.6813793103448276,0.7799723578495956
